
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Introduzca la contraseña correcta arriba y, a continuación, escriba los caracteres que ve en la imagen siguiente.
#From:regenerate,Regenerate
regenerate,Regenerar
dlink.wf.intro,Configure el filtro de sitios web a continuación:
#From:dlink.wf.op.0,DENY computers access to ONLY these sites
dlink.wf.op.0,DENIEGA el acceso a los ordenadores SOLO a estos sitios
#From:dlink.wf.op.1,ALLOW computers access to ONLY these sites
dlink.wf.op.1,PERMITE el acceso a los ordenadores SOLO a estos sitios
#From:dlink.hhwf.intro,Create a list of Web Sites to which you would like to deny or allow through the network.
dlink.hhwf.intro,Cree una lista de los sitios web para los que quiere denegar o permitir el acceso a través de la red.
#From:dlink.help145,Enter the URL (address) of the Web Site that you want to allow or deny; for example: <code>google.com</code>. Do not enter the <code>http://</code> preceding the URL. Enter the most inclusive domain; for example, select allow and enter <code>dlink.com</code> and access will be permitted to both <code>www.dlink.com</code> and <code>support.dlink.com</code>.
dlink.help145,Escriba la URL (dirección) del sitio web para el que quiere permitir o denegar el acceso; por ejemplo: <code>google.com</code>. No escriba <code>http://</code> delante de la URL. Escriba el dominio más inclusivo; por ejemplo, seleccione permitir y escriba <code>dlink.com</code>, así se permitirá el acceso tanto a <code>www.dlink.com</code> como a <code>support.dlink.com</code>.
#From:dlink.help146,Many web sites construct pages with images and content from other web sites. For example, to access <code>my.yahoo.com</code>, you would need to select allow and type <code>yahoo.com</code>, <code>yimg.com</code>, and <code>doubleclick.net</code>.
dlink.help146,Muchos sitios webs construyen páginas con imágenes y contenido de otras páginas web. Por ejemplo, para acceder a <code>my.yahoo.com</code>, ha de seleccionar permitir y escribir <code>yahoo.com</code>, <code>yimg.com</code> y <code>doubleclick.net</code>.
#From:dlink.help148,The section lists the current denied or allowed web sites.
dlink.help148,Este apartado presenta los sitios web permitidos y denegados actualmente.
#From: Dynamic_PPPoE,Dynamic IP
Dynamic_PPPoE,IP dinámica
#From: static_PPPoE,Static IP
static_PPPoE,IP estática
#From: WEB_FILTER_LOG_URL_ACCESSED_MAC,Web site %S accessed from %s
WEB_FILTER_LOG_URL_ACCESSED_MAC,Se ha tenido acceso al sitio Web %S desde %s
#From: WEB_FILTER_LOG_URL_BLOCKED_MAC,Web site %S blocked for %s
WEB_FILTER_LOG_URL_BLOCKED_MAC,Se ha bloqueado el sitio Web %S para %s
#From: GW_INET_ACCESS_DROP_ACCESS_CONTROL_MAC,Internet access control dropped packet from %v:%u[%s] to %v:%u (protocol %u)
GW_INET_ACCESS_DROP_ACCESS_CONTROL_MAC,El control de acceso a Internet ha eliminado un paquete de %v:%u[%s] a %v:%u (protocolo %u)
#From: GW_INET_ACCESS_DROP_PORT_FILTER_MAC,Internet access port filter dropped packet from %v:%u[%s] to %v:%u (protocol %u)
GW_INET_ACCESS_DROP_PORT_FILTER_MAC,El filtro de puertos de acceso a Internet eliminó un paquete de %v:%u[%s] a %v:%u (protocolo %u)
#From: LS321,WEP
LS321,WEP
#From: KR4,WLAN Partition
KR4,WLAN Partition
#From: wwz.wwl.wnn,Network Name (SSID)
wwz.wwl.wnn,Nombre de red (SSID)
#From: wps.p3.4,please enter the PIN from your wireless device and click the below 'Connect' Button
wps.p3.4,Introduzca el PIN de su dispositivo inalámbrico, luego haga clic en el botón Conectar.
#From: resetUnconfiged,Reset to Unconfigured
resetUnconfiged,Restaurar como No configurado
#From: wwl.s4.intro.z2,- Exactly 5 or 13 characters
wwl.s4.intro.z2,exactamente 5 o 13 caracteres alfanuméricos.
#From: wwl.64bits,64 bits
wwl.64bits,64 bits
#From: wwl.title.s,Set your Wireless Security Password
wwl.title.s,Establezca su clave de acceso de seguridad inalámbrica
#From: wwl.title.s4.2,Step 2: Set your Wireless Security Password
wwl.title.s4.2,Paso 2: Establezca su clave de acceso de seguridad inalámbrica
#From: wps.KR46,seconds ...
wps.KR46,segundos ...
#From: KR4.ww,WLAN Partition
KR4.ww,WLAN Partition
#From: anet.wp.auto2,Auto 10/100Mbps
anet.wp.auto2,Auto 10/100Mbps
#From: wps.KR35,Step 1: Select Configuration Method for your Wireless Network
wps.KR35,Paso 1: Seleccione el método de configuración para su red inalámbrica
#From:KR112,You should examine these warnings as some features may have been disabled.
KR112,Debería tener en cuenta estos avisos puesto que se pueden haber deshabilitado algunas características.
#From:GW_WLAN_11A_CH_MID_BAND_WARN,<warn>Not all station are able to operate in channel 100-140. Please change channel if the station fails to connect.</warn>
GW_WLAN_11A_CH_MID_BAND_WARN,<warn>No todas las estaciones pueden funcionar en el canal 100-140. Cambie el canal si la estación falla al establecer la conexión.</warn>
#From:KR106,Enable anti-spoof checking
KR106,Habilitar comprobación anti-spoof
#From:GW_NAT_CONFLICTING_CONNECTIONS_LOG,Rule %s conflicts with an existing connection (%v:%u (public %v:%u)--->%v:%u). Connectivity to the rule may be affected until this connection ends.
GW_NAT_CONFLICTING_CONNECTIONS_LOG,La regla %s entra en conflicto con una conexión existente (%v:%u (público %v:%u)--->%v:%u). La conectividad de la regla puede verse afectada hasta que finalice la conexión.
#From:KR111,Warnings were raised as a result of configuration changes.
KR111,Los avisos se han generado como resultado de cambios en la configuración.
#From:KR109,Log Entries
KR109,Entradas de registro
#From:GW_NAT_CONFLICTING_CONNECTIONS_WARNING,<warn>Rule %s conflicts with an existing connection (%v:%u (public %v:%u)--->%v:%u). Connectivity to the rule may be affected until this connection ends.</warn>
GW_NAT_CONFLICTING_CONNECTIONS_WARNING,<warn>La regla %s entra en conflicto con una conexión existente (%v:%u (público %v:%u)--->%v:%u). La conectividad de la regla puede verse afectada hasta que finalice la conexión.</warn>
#From:GW_PURE_SETACCESSPOINTMODE,HNAP SetAccessPointMode %s returns %s, %s
GW_PURE_SETACCESSPOINTMODE,La configuración del  modo del punto de acceso HNAP  %s devuelve %s, %s
#From:GW_NAT_REJECTED_SPOOFED_PACKET,Blocked packet from %v to %v that was received from the wrong network interface (IP address spoofing)
GW_NAT_REJECTED_SPOOFED_PACKET,Se ha bloqueado el paquete de %v a %v recibido desde la interfaz de red incorrecta (spoofing de dirección IP).
#From:KR110,Message
KR110,Mensaje
#From:GW_DHCP_SERVER_DISABLED_WARNING,<warn>DHCP Server is being disabled because the LAN subnet is not suitable</warn>
GW_DHCP_SERVER_DISABLED_WARNING,<warn>Se está deshabilitando el servidor DHCP porque la subred de la LAN no es la apropiada.</warn>
#From:GW_ROUTES_ROUTE_GATEWAY_NOT_IN_SUBNET_WARNING,<warn>Route gateway IP %v is not in interface subnet (%v/%v) and will be disabled.</warn>
GW_ROUTES_ROUTE_GATEWAY_NOT_IN_SUBNET_WARNING,<warn>La ruta IP del gateway%v no se encuentra en la subred de la interfaz (%v/%v) y se deshabilitará.</warn>
#From:KR107,When this option is enabled, the router restricts the flow of outbound traffic so as not to exceed the WAN uplink bandwidth.
KR107,Cuando se habilita esta opción, el router restringe el tráfico de salida a fin de no exceder el ancho de banda del uplink WAN.
#From:KR105,Anti-Spoof checking
KR105,Comprobación anti-spoof
#From:IPSTACK_REJECTED_LAND_ATTACK,Blocked packet from %v to %v (LAND Attack)
IPSTACK_REJECTED_LAND_ATTACK,Se ha bloqueado el paquete de %v a %v (ataque LAND)
#From:KR67,Log emails
KR67,Mensajes de correo electrónico con registros
#From:YM71,destination ending port should be between 0 and 65535 inclusive.
YM71,el puerto final de destino debe estar comprendido entre 0 y 65535 inclusive.
#From:GW_FIREWALL_RANGE_DUPLICATED_INVALID,The Source IP Range '%v-%v' is duplicated.
GW_FIREWALL_RANGE_DUPLICATED_INVALID,El rango de IP de origen '%v-%v' está duplicado.
#From:LS422,Hardware Address
LS422,Dirección de hardware
#From:bwz.LWCNWz,Use Windows Connect Now
bwz.LWCNWz,Usar Windows Connect Now
#From:GW_WAN_WAN_GATEWAY_IP_ADDRESS_INVALID,Invalid WAN gateway IP address: %v
GW_WAN_WAN_GATEWAY_IP_ADDRESS_INVALID,La dirección IP del gateway WAN no es válida: %v
#From:ta.wcn,Save Configuration To Wireless Network Setup Wizard
ta.wcn,Guardar la configuración en el Asistente de Configuración de red inalámbrica
#From:LW57,A PIN is a unique number that can be used to add the router to an existing network or to create a new network. The default PIN may be printed on the bottom of the router. For extra security, a new PIN can be generated. You can restore the default PIN at any time. Only the Administrator ("admin" account) can change or reset the PIN.
LW57,Un PIN es un número que se puede usar para añadir el router a una red existente o para crear una red. El PIN por defecto suele figurar en la parte superior del router. Para mayor seguridad, se puede generar un nuevo PIN. En cualquier momento, puede restaurar el PIN por defecto. Solo el administrador (cuenta «admin») puede cambiar o restablecer el PIN.
#From:.wepkey2,WEP Key 2
.wepkey2,Clave WEP 2
#From:help145,Enter the URL (address) of the Web Site that you want to allow; for example: <code>google.com</code>. Do not enter the <code>http://</code> preceding the URL. Enter the most inclusive domain; for example, enter <code>dlink.com</code> and access will be permitted to both <code>www.dlink.com</code> and <code>support.dlink.com</code>.
help145,Introduzca la URL (dirección) del sitio web al que quiere acceder; por ejemplo: <code>google.com</code>. No escriba <code>http://</code> delante de la URL. Escriba el dominio más inclusivo; por ejemplo, introduzca <code>dlink.com</code> y podrá acceder tanto a <code>www.dlink.com</code> como a <code>support.dlink.com</code>.
#From:tsc.pingt.msg109,Hop
tsc.pingt.msg109,Salto
#From:bd.NETBIOS_REG_TYPE,NetBIOS node type
bd.NETBIOS_REG_TYPE,Tipo de nodo NetBIOS
#From:ap.intro.cont,Please press the button below to continue configuring the router.
ap.intro.cont,Haga clic en el botón inferior para seguir configurando el router.
#From:LW60,Create a random number that is a valid PIN. This becomes the router's PIN. You can then copy this PIN to the user interface of the registrar.
LW60,Cree un número aleatorio que sea un PIN válido. Este número será el PIN del router, que luego podrá copiar en el interfaz de usuario de registro.
#From:.rs.failed,Restore Failed
.rs.failed,No se ha podido restaurar
#From:KR62,Select this option if the device is connected to a local network downstream from another router. In this mode, the device functions as a bridge between the network on its WAN port and the devices on its LAN port and those connected to it wirelessly.
KR62,Seleccione esta opción si el dispositivo está conectado a un flujo de red local procedente de otro router. En este modo, el dispositivo funciona como un bridge entre la red, en su puerto WAN, y los dispositivos, en su puerto LAN, y los que están conectados a él inalámbricamente.
#From:KR20,The Wireless Device PIN field can not be blank
KR20,El campo PIN del dispositivo inalámbrico no puede estar vacío.
#From:at.intro.2,For best performance, use the Automatic Classification option to automatically set the priority for your applications.
at.intro.2,Para un mayor rendimiento, use la opción Clasificación automática a fin de establecer automáticamente la prioridad para sus aplicaciones.
#From:bd.NETBIOS_ENABLE,NetBIOS announcement
bd.NETBIOS_ENABLE,Anuncios NetBIOS
#From:KR77,The subnet mask of the local area network.
KR77,La máscara de subred de la red de área local.
#From:help364,Super G with Dynamic Turbo
help364,Super G con Dynamic Turbo
#From:.aa.bsecure.shopping,Shopping
.aa.bsecure.shopping,Comprar
#From:.aa.bsecure.public_proxies,Public Proxies
.aa.bsecure.public_proxies,Proxies públicos
#From:wepkey1,WEP Key 1
wepkey1,Clave WEP 1
#From:ZM11,Send/Receive authorization
ZM11,Enviar/recibir autorización
#From:tsc.start_time,Start Time
tsc.start_time,Hora de inicio
#From:YM69,source ending port should be between 0 and 65535 inclusive.
YM69,el puerto final de origen debe estar comprendido entre 0 y 65535 inclusive.
#From:KR82,If NetBIOS advertisement is swicthed on, switching this setting on causes WINS information to be learned from the WAN side, if available.
KR82,Si los anuncios NetBIOS están activados, cambiar este parámetro hace que la información WINS pueda conocerse desde el lado WAN, si está disponible.
#From:LW39b,Only Administrator has access to these functionalities. The buttons are disabled as you are not currently logged in as Administrator.
LW39b,A estas funcionalidades solo puede acceder el administrador. Los botones están deshabilitados puesto que ahora no ha entrado en el sistema como administrador.
#From:GW_SCHEDULES_NAME_RESERVED_INVALID,The Schedule name '%s' is reserved and can not be used
GW_SCHEDULES_NAME_RESERVED_INVALID,El nombre de programación '%s' está reservado y no puede usarse
#From:LW12,Add Wireless Station
LW12,Añadir estación inalámbrica
#From:YM75,Windows Media Center
YM75,Windows Media Center
#From:GW_ROUTES_GATEWAY_IP_ADDRESS_INVALID,Route gateway IP %v is invalid
GW_ROUTES_GATEWAY_IP_ADDRESS_INVALID,La ruta IP del gateway %v no es válida
#From:GW_WLAN_WPA_REKEY_TIME_INVALID,WPA Group Key Update Interval should be between 30 and 65535 seconds.
GW_WLAN_WPA_REKEY_TIME_INVALID,El intervalo de actualización de la clave de grupo WPA debe estar comprendido entre 30 y 65535 segundos.
#From:bws.msg.WEP.1,WEP is the wireless encryption standard. To use it you must enter the same key(s) into the router and the wireless stations. For 64 bit keys you must enter 10 hex digits into each key box. For 128 bit keys you must enter 26 hex digits into each key box. A hex digit is either a number from 0 to 9 or a letter from A to F. For the most secure use of WEP set the authentication type to "Shared Key" when WEP is enabled.
bws.msg.WEP.1,WEP es la encriptación inalámbrica estándar. Para utilizarla, ha de introducir la(s) misma(s) clave(s) en el router y en las estaciones inalámbricas. Para claves de 64 bit ha de introducir 10 dígitos hexadecimales en cada cuadro de clave. Para claves de 128 bit ha de introducir  26 dígitos hexadecimales en cada cuadro de clave. Un dígito hexadecimal puede ser un número del 0 al 9 o una letra desde la  A hasta la F. Para un uso más seguro de WEP, establezca el tipo de autentificación como «Clave compartida» cuando WEP esté habilitada.
