
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Immettere la password corretta, quindi digitare i caratteri visualizzati nell'immagine seguente.
#From:regenerate,Regenerate
regenerate,Ricrea
#From:wwz.manual.key2,Use this options if you prefer to create our own key.
wwz.manual.key2,Utilizzare questa opzione per creare una chiave personale.
#From:dlink.awf.intro.WF,The Website Filter option allows you to set up a list of Web sites you would like to allow or deny through your network. To use this feature, you must also select the "Apply Web Filter" checkbox in the Access Control section.
dlink.awf.intro.WF,L'opzione Filtro web consente di impostare un elenco di siti accessibili o non accessibili dagli utenti di rete. Per utilizzare questa funzione, è necessario selezionare la casella "Applica filtro web" nella sezione Controllo accessi.
#From:dlink.wf.intro,Configure Website Filter below:
dlink.wf.intro,Configurazione filtri web:
#From:dlink.wf.op.0,DENY computers access to ONLY these sites
dlink.wf.op.0,IMPEDISCI l'accesso da parte dei computer ESCLUSIVAMENTE a questi siti
#From:dlink.wf.op.1,ALLOW computers access to ONLY these sites
dlink.wf.op.1,CONSENTI l'accesso da parte dei computer ESCLUSIVAMENTE a questi siti
#From:dlink.hhwf.intro,Create a list of Web Sites to which you would like to deny or allow through the network.
dlink.hhwf.intro,Creare un elenco di siti web ai quali si desidera impedire o consentire l'accesso via rete.
#From:dlink.help145,Enter the URL (address) of the Web Site that you want to allow or deny; for example: <code>google.com</code>. Do not enter the <code>http://</code> preceding the URL. Enter the most inclusive domain; for example, select allow and enter <code>dlink.com</code> and access will be permitted to both <code>www.dlink.com</code> and <code>support.dlink.com</code>.
dlink.help145,Inserire l'URL (indirizzo) del sito web da abilitare o disabilitare; ad esempio: <code>google.com</code>. Non inserire <code>http://</code> prima dell'URL.  Inserire il dominio più generale. Ad esempio selezionando Abilita e inserendo <code>dlink.com</code> si abilita l'accesso a <code>www.dlink.com</code> e <code>support.dlink.com</code>.
#From:dlink.help146,Many web sites construct pages with images and content from other web sites. For example, to access <code>my.yahoo.com</code>, you would need to select allow and type <code>yahoo.com</code>, <code>yimg.com</code>, and <code>doubleclick.net</code>.
dlink.help146,Molti siti web costruiscono le proprie pagine con immagini e contenuti di altri siti. Ad esempio, per accedere a <code>my.yahoo.com</code>, è necessario selezionare Abilita e digitare <code>yahoo.com</code>, <code>yimg.com</code> e <code>doubleclick.net</code>.
#From:dlink.help148,The section lists the current denied or allowed web sites.
dlink.help148,Questa sezione elenca i siti web attualmente abilitati o disabilitati.


#From: Dynamic_PPPoE,Dynamic IP
Dynamic_PPPoE,IP dinamico
#From: static_PPPoE,Static IP
static_PPPoE,IP statico

#From: WEB_FILTER_LOG_URL_ACCESSED_MAC,Web site %S accessed from %s
WEB_FILTER_LOG_URL_ACCESSED_MAC,Accesso al sito Web %S effettuato da %s
#From: WEB_FILTER_LOG_URL_BLOCKED_MAC,Web site %S blocked for %s
WEB_FILTER_LOG_URL_BLOCKED_MAC,Sito Web %S bloccato per %s
#From: GW_INET_ACCESS_DROP_ACCESS_CONTROL_MAC,Internet access control dropped packet from %v:%u[%s] to %v:%u (protocol %u)
GW_INET_ACCESS_DROP_ACCESS_CONTROL_MAC,Il controllo dell'accesso a Internet ha ignorato il pacchetto da %v:%u[%s] a %v:%u (protocollo %u)
#From: GW_INET_ACCESS_DROP_PORT_FILTER_MAC,Internet access port filter dropped packet from %v:%u[%s] to %v:%u (protocol %u)
GW_INET_ACCESS_DROP_PORT_FILTER_MAC,Il filtro della porta di accesso a Internet ha ignorato il pacchetto da %v:%u[%s] a %v:%u (protocollo %u)



#From: LS321,WEP
LS321,WEP
#From: KR4,WLAN Partition
KR4,WLAN Partition
#From: wwz.wwl.wnn,Network Name (SSID)
wwz.wwl.wnn,Nome rete (SSID)
#From: wps.p3.4,please enter the PIN from your wireless device and click the below 'Connect' Button
wps.p3.4,Inserire il PIN del dispositivo wireless e cliccare sul pulsante Connetti.
#From: wwl.s4.intro.z2,- Exactly 5 or 13 characters
wwl.s4.intro.z2,esattamente da 5 o 13 caratteri alfanumerici.
#From: wwl.64bits,64 bits
wwl.64bits,64 bits
#From: wwl.title.s,Set your Wireless Security Password
wwl.title.s,Impostare la vostra passowrd per la rete senza-fili
#From: wwl.title.s4.2,Step 2: Set your Wireless Security Password
wwl.title.s4.2,Punto 2: Impostare la vostra passowrd per la rete senza-fili
#From: wps.KR46,seconds ...
wps.KR46,secondi ...
#From: KR4.ww,WLAN Partition
KR4.ww,WLAN Partition
#From: anet.wp.auto2,Auto 10/100Mbps
anet.wp.auto2,Auto 10/100Mbps
#From: wps.KR35,Step 1: Select Configuration Method for your Wireless Network
wps.KR35,Fase 1: Imposta il metodo di configurazione della rete Wireless




#From:KR112,You should examine these warnings as some features may have been disabled.
KR112,Esaminare i seguenti messaggi di warning in quanto alcune funzioni potrebbero essere state disabilitate.
#From:GW_WLAN_11A_CH_MID_BAND_WARN,<warn>Not all station are able to operate in channel 100-140. Please change channel if the station fails to connect.</warn>
GW_WLAN_11A_CH_MID_BAND_WARN,<warn>Non tutte le stazioni sono in grado di operare con canale 100-140. In caso di errore di connessione, modificare il canale.</warn>
#From:KR106,Enable anti-spoof checking
KR106,Abilita la verifica anti-spoof
#From:GW_NAT_CONFLICTING_CONNECTIONS_LOG,Rule %s conflicts with an existing connection (%v:%u (public %v:%u)--->%v:%u). Connectivity to the rule may be affected until this connection ends.
GW_NAT_CONFLICTING_CONNECTIONS_LOG,La regola %s è in conflitto con una connessione esistente (%v:%u (pubblico %v:%u)--->%v:%u). La connettivit? alla regola potrebbe essere compromessa fino al termine della connessione.
#From:KR111,Warnings were raised as a result of configuration changes.
KR111,Le modifiche alla configurazione hanno generato un aumento dei messaggi di warning.
#From:KR109,Log Entries
KR109,Voci del log
#From:GW_NAT_CONFLICTING_CONNECTIONS_WARNING,<warn>Rule %s conflicts with an existing connection (%v:%u (public %v:%u)--->%v:%u). Connectivity to the rule may be affected until this connection ends.</warn>
GW_NAT_CONFLICTING_CONNECTIONS_WARNING,<warn>La regola %s è in conflitto con una connessione esistente (%v:%u (pubblico %v:%u)--->%v:%u). La connettivit? alla regola potrebbe essere compromessa fino al termine della connessione..</warn>
#From:GW_PURE_SETACCESSPOINTMODE,HNAP SetAccessPointMode %s returns %s, %s
GW_PURE_SETACCESSPOINTMODE,HNAP SetAccessPointMode %s restituisce %s, %s
#From:GW_NAT_REJECTED_SPOOFED_PACKET,Blocked packet from %v to %v that was received from the wrong network interface (IP address spoofing)
GW_NAT_REJECTED_SPOOFED_PACKET,? stato bloccato un pacchetto proveniente da %v e destinato a %v, perché ricevuto da un'interfaccia di rete errata (spoofing indirizzo IP)
#From:KR110,Message
KR110,Messaggio
#From:GW_ROUTES_ROUTE_GATEWAY_NOT_IN_SUBNET_WARNING,<warn>Route gateway IP %v is not in interface subnet (%v/%v) and will be disabled.</warn>
GW_ROUTES_ROUTE_GATEWAY_NOT_IN_SUBNET_WARNING,<warn>L'indirizzo IP del gateway del percorso %v non appartiene alla sottorete dell'interfaccia (%v/%v) e sar? disabilitato.</warn>
#From:KR107,When this option is enabled, the router restricts the flow of outbound traffic so as not to exceed the WAN uplink bandwidth.
KR107,Quando questa opzione è abilitata, il router limita il flusso del traffico in uscita in modo che non superi l'ampiezza di banda per le connessioni uplink di WAN.
#From:KR105,Anti-Spoof checking
KR105,Verifica anti spoofing
#From:IPSTACK_REJECTED_LAND_ATTACK,Blocked packet from %v to %v (LAND Attack)
IPSTACK_REJECTED_LAND_ATTACK,? stato bloccato il pacchetto proveniente da %v e destinato a %v (attacco alla LAND)
#From:KR67,Log emails
KR67,Log per posta elettronica
#From:YM71,destination ending port should be between 0 and 65535 inclusive.
YM71,la porta di destinazione finale deve essere compresa tra 0 e 65535, estremi inclusi.
#From:GW_FIREWALL_RANGE_DUPLICATED_INVALID,The Source IP Range '%v-%v' is duplicated.
GW_FIREWALL_RANGE_DUPLICATED_INVALID,La Intervallo di indirizzi IP sorgente '%v-%v' è duplicata.
#From:LS422,Hardware Address
LS422,Indirizzo hardware
#From:bwz.LWCNWz,Use Windows Connect Now
bwz.LWCNWz,Utilizza Windows Connect Now
#From:GW_WAN_WAN_GATEWAY_IP_ADDRESS_INVALID,Invalid WAN gateway IP address: %v
GW_WAN_WAN_GATEWAY_IP_ADDRESS_INVALID,Indirizzo IP del gateway di WAN invalido: %v
#From:ta.wcn,Save Configuration To Wireless Network Setup Wizard
ta.wcn,Salva la configurazione nel Wireless Network Setup Wizard
#From:LW57,A PIN is a unique number that can be used to add the router to an existing network or to create a new network. The default PIN may be printed on the bottom of the router. For extra security, a new PIN can be generated. You can restore the default PIN at any time. Only the Administrator ("admin" account) can change or reset the PIN.
LW57,Un PIN è un numero univoco che può essere utilizzato per aggiungere il router a una rete esistente o per creare una nuova rete. Il PIN di default può essere stampato sul pannello inferiore del router. Per incrementare ulteriormente la sicurezza è possibile generare un nuovo PIN. Il PIN di default può essere ripristinato in qualunque momento. Solamente l'amministratore (account "admin") può modificare o ripristinare il PIN.
#From:.wepkey2,WEP Key 2
.wepkey2,Chiave WEP 2
#From:help145,Enter the URL (address) of the Web Site that you want to allow; for example: <code>google.com</code>. Do not enter the <code>http://</code> preceding the URL. Enter the most inclusive domain; for example, enter <code>dlink.com</code> and access will be permitted to both <code>www.dlink.com</code> and <code>support.dlink.com</code>.
help145,Inserire l'URL (indirizzo) del sito web da abilitare; per esempio: <code>google.com</code>. Non inserire <code>http://</code> prima dell'URL. Inserire il dominio più generale. Per esempio inserendo <code>dlink.com</code> si abilita l'accesso a <code>www.dlink.com</code> e <code>support.dlink.com</code>.
#From:tsc.pingt.msg109,Hop
tsc.pingt.msg109,Salto
#From:bd.NETBIOS_REG_TYPE,NetBIOS node type
bd.NETBIOS_REG_TYPE,Tipo nodo NetBIOS
#From:ap.intro.cont,Please press the button below to continue configuring the router.
ap.intro.cont,Premere il seguente pulsante per continuare la configurazione del router.
#From:LW60,Create a random number that is a valid PIN. This becomes the router's PIN. You can then copy this PIN to the user interface of the registrar.
LW60,Crea un numero random che costituisca un PIN valido. Questo diventa il PIN del router. Il PIN può essere copiato nell'interfaccia utente del registrar.
#From:.rs.failed,Restore Failed
.rs.failed,Ripristino fallito
#From:KR62,Select this option if the device is connected to a local network downstream from another router. In this mode, the device functions as a bridge between the network on its WAN port and the devices on its LAN port and those connected to it wirelessly.
KR62,Selezionare questa opzione se il dispositivo è connesso ad una rete locale a valle di un altro router. In questo modo il dispositivo funge da bridge tra la porta WAN della rete e i dispositivi connessi alle porte LAN o in modalit? wireless.
#From:KR20,The Wireless Device PIN field can not be blank
KR20,Il campo PIN del dispositivo wireless è obbligatorio
#From:at.intro.2,For best performance, use the Automatic Classification option to automatically set the priority for your applications.
at.intro.2,Per ottimizzare le prestazioni, utilizzare l'opzione Classificazione automatica per assegnare automaticamente il livello di priorit? alle applicazioni.
#From:bd.NETBIOS_ENABLE,NetBIOS announcement
bd.NETBIOS_ENABLE,Messaggio NetBIOS
#From:KR77,The subnet mask of the local area network.
KR77,Subnet mask della LAN.
#From:help364,Super G with Dynamic Turbo
help364,Super G con Dynamic Turbo
#From:.aa.bsecure.shopping,Shopping
.aa.bsecure.shopping,Acquisti
#From:.aa.bsecure.public_proxies,Public Proxies
.aa.bsecure.public_proxies,Proxy pubblici
#From:wepkey1,WEP Key 1
wepkey1,Chiave WEP 1
#From:ZM11,Send/Receive authorization
ZM11,Autorizzazione Invio/Ricezione
#From:tsc.start_time,Start Time
tsc.start_time,Ora di inizio
#From:YM69,source ending port should be between 0 and 65535 inclusive.
YM69,la porta di origine finale deve essere compresa tra 0 e 65535, estremi inclusi.
#From:KR82,If NetBIOS advertisement is swicthed on, switching this setting on causes WINS information to be learned from the WAN side, if available.
KR82,Se l'opzione NetBIOS è attiva, la selezione di questa impostazione fa sì che le informazioni WINS, se disponibili, vengano apprese dalla WAN.
#From:LW39b,Only Administrator has access to these functionalities. The buttons are disabled as you are not currently logged in as Administrator.
LW39b,Solo l'amministratore ha accesso a queste funzionalit?. Se l'utente non è attualmente connesso con l'account dell'amministratore, i pulsanti sono disabilitati.
#From:GW_SCHEDULES_NAME_RESERVED_INVALID,The Schedule name '%s' is reserved and can not be used
GW_SCHEDULES_NAME_RESERVED_INVALID,Il Nome pianificazione '%s' è riservato e non può essere utilizzato
#From:LW12,Add Wireless Station
LW12,Aggiungi stazione wireless
#From:YM75,Windows Media Center
YM75,Windows Media Center
#From:GW_ROUTES_GATEWAY_IP_ADDRESS_INVALID,Route gateway IP %v is invalid
GW_ROUTES_GATEWAY_IP_ADDRESS_INVALID,L'indirizzo IP %v del gateway del percorso è invalido
#From:GW_WLAN_WPA_REKEY_TIME_INVALID,WPA Group Key Update Interval should be between 30 and 65535 seconds.
GW_WLAN_WPA_REKEY_TIME_INVALID,L'intervallo di aggiornamento delle chiavi WPA di gruppo deve essere compreso tra 30 e 65535 secondi.
#From:bws.msg.WEP.1,WEP is the wireless encryption standard. To use it you must enter the same key(s) into the router and the wireless stations. For 64 bit keys you must enter 10 hex digits into each key box. For 128 bit keys you must enter 26 hex digits into each key box. A hex digit is either a number from 0 to 9 or a letter from A to F. For the most secure use of WEP set the authentication type to "Shared Key" when WEP is enabled.
bws.msg.WEP.1,WEP è lo standard di cifratura wireless. Per utilizzare questo protocollo è necessario definire la/e stessa/e chiave/i per il router e i dispositivi wireless. Nel caso di chiavi a 64 bit, inserire 10 cifre esadecimali in ciascun campo. Nel caso di chiavi a 128 bit, inserire 26 cifre esadecimali in ciascun campo. Una cifra esadecimale è un numero compreso tra 0 e 9 o una lettera compresa tra A e F. Per incrementare al massimo il livello di sicurezza offerto dal protocollo WEP, selezionare "Chiave condivisa" come tipo di autenticazione quando il protocollo WEP è abilitato.
